,Tp,M,Name,Num_obs,Synodic_period,Perturbers_2,Ref,NEO_flag,Perturbers,Perihelion_dist,Aphelion_dist,Computer,Node,H,rms,Number,n,Num_opps,One_km_NEO_flag,Orbital_period,Peri,G,Principal_desig,e,Epoch,Arc_years,Semilatus_rectum,i,U,a,Last_obs,Hex_flags,PHA_flag,Critical_list_numbered_object_flag,Arc_length,One_opposition_object_flag
19,2457423.844,346.55235,Anteros,2718,2.4065894,3Eh,MPO347533,1,M-h,1.0643456,1.796667,MPCLINUX,246.33987,15.75,0.42,-1943,0.57606223,17,1,1.7109395,338.33817,0.15,1973 EC,0.2559658,2457400.5,1973-2014,0.6683908,8.70528,0,1.4305063,12/23/14,1804,NA,NA,NA,NA
20,2457255.107,64.11485,Tezcatlipoca,2104,1.8096752,3Eh,MPO370986,1,M-h,1.0857236,2.3332036,MPCLINUX,246.61538,13.92,0.37,-1980,0.44097531,22,1,2.2350631,115.3909,0.15,1950 LA,0.3648747,2457400.5,1950-2015,0.7409383,26.85994,0,1.7094636,12/19/15,1804,NA,NA,NA,NA
21,2457384.579,6.62914,Midas,529,1.7314846,3Eh,MPO350815,1,M-h,0.6216279,2.9306393,MPCLINUX,356.90525,15.2,0.45,-1981,0.41638074,21,1,2.3670828,267.79861,0.15,1973 EA,0.6500106,2457400.5,1973-2015,0.5128463,39.83312,1,1.7761336,2/24/15,9803,1,NA,NA,NA
22,2457224.253,40.33919,Baboquivari,302,1.3024585,38h,MPO370987,1,M-v,1.2460383,4.0476947,MPCLINUX,200.98851,15.9,0.55,-2059,0.22887904,17,1,4.3062383,191.27735,0.15,1963 UA,0.5292402,2457400.5,1963-2015,0.952746,11.03085,0,2.6468665,12/17/15,1804,NA,NA,NA,NA
23,2457127.509,78.91093,Anza,320,1.4149906,3Eh,MPO365269,1,M-h,1.0490763,3.4817097,MPCLINUX,207.6028,16.56,0.59,-2061,0.28906049,16,1,3.4096934,156.52189,0.15,1960 UA,0.536912,2457400.5,1960-2016,0.806169,3.77338,0,2.265393,2/14/16,1804,NA,NA,NA,NA
24,2457496.492,260.47587,Aten,849,19.2555029,3Eh,MPO370987,1,M-v,0.7900813,1.1435391,MPCW,108.56452,16.8,0.53,-2062,1.0367935,17,1,0.9506307,147.97157,0.15,1976 AA,0.1827959,2457400.5,1955-2015,0.4672524,18.93316,0,0.9668102,12/16/15,1802,NA,NA,NA,NA
25,2457463.256,304.73401,Bacchus,642,9.3902897,3Eh,MPO347534,1,M-h,0.701396,1.4545176,MPCLINUX,33.10486,17.3,0.58,-2063,0.88064733,17,1,1.1191854,55.31881,0.15,1977 HB,0.3493283,2457400.5,1977-2015,0.4732067,9.43281,1,1.0779568,8/16/15,1803,NA,NA,NA,NA
26,2457482.235,253.85341,Ra-Shalom,1295,3.1483406,3Eh,MPO275457,1,M-v,0.4688315,1.1952255,MPCW,170.83509,16.05,0.59,-2100,1.29866401,19,1,0.7589398,356.0476,0.12,1978 RA,0.4365199,2457400.5,1975-2013,0.3367429,15.75835,0,0.8320285,10/25/13,1802,NA,NA,NA,NA
27,2457187.965,81.59272,Adonis,91,1.6380258,3Eh,MPO256878,1,M-h,0.4428091,3.3070791,MPCLINUX,349.8423,18.8,0.86,-2101,0.38390306,8,NA,2.5673347,43.24174,0.15,1936 CA,0.7638281,2457400.5,1936-2013,0.3905196,1.33041,1,1.8749441,3/13/13,8803,1,NA,NA,NA
28,2457272.966,85.78649,Tantalus,673,3.1493977,3Eh,MPO305442,1,M-h,0.9041344,1.6759692,MPCLINUX,94.36995,16,0.48,-2102,0.6726565,16,1,1.4652466,61.55501,0.15,1975 YA,0.2991488,2457400.5,1975-2014,0.5873025,64.00534,1,1.2900518,7/27/14,9803,1,NA,NA,NA
29,2457229.239,83.44437,Aristaeus,45,1.9776533,3Eh,MPO298973,1,M-h,0.7948503,2.4040953,MPCLINUX,191.22122,17.94,0.65,-2135,0.48723535,9,1,2.0228575,290.87401,0.15,1977 HA,0.5030548,2457400.5,1977-2014,0.5973518,23.06143,3,1.5994728,6/27/14,D803,1,1,NA,NA
