,Tp,M,Name,Num_obs,Synodic_period,Perturbers_2,Ref,NEO_flag,Perturbers,Perihelion_dist,Aphelion_dist,Computer,Node,H,rms,Number,n,Num_opps,One_km_NEO_flag,Orbital_period,Peri,G,Principal_desig,e,Epoch,Arc_years,Semilatus_rectum,i,U,a,Last_obs,Hex_flags,PHA_flag,Critical_list_numbered_object_flag,Arc_length,One_opposition_object_flag
4275,2457782.843,190.1936,NA,34,1.8201887,3Eh,MPO138178,1,M-v,1.0673797,2.3353837,MPCALB,14.2024,24.9,0.35,NA,0.44412112,1,NA,2.2192316,159.37531,0.15,2008 GQ,0.3726395,2457400.5,NA,0.7325638,4.85452,7,1.7013817,4/9/08,2804,NA,NA,6,1
4276,2457132.731,114.25711,NA,12,1.763452,3Eh,MPO138178,1,M-v,0.974354,2.5204106,MPCS,16.93758,25.6,0.28,NA,0.42669955,1,NA,2.30984,224.85107,0.15,2008 GR,0.4423922,2457400.5,NA,0.7027003,3.13785,9,1.7473823,4/4/08,2803,NA,NA,1,1
4277,2457839.925,263.12735,NA,31,1.2881162,3Eh,MPO138178,1,M-v,1.0377394,4.390032,MPCADO,15.46399,23.2,0.45,NA,0.22045337,1,NA,4.4708215,178.00961,0.15,2008 GV,0.6176186,2457400.5,NA,0.8393333,30.29958,8,2.7138857,4/6/08,2804,NA,NA,3,1
4278,2457159.977,68.90835,NA,153,1.4097964,38h,MPO349248,1,M-v,1.1822313,3.3755711,MPCALB,144.26865,19.5,0.46,NA,0.28649419,2,NA,3.4402361,109.35286,0.15,2008 GX,0.4812275,2457400.5,2008-2015,0.8755767,2.62759,1,2.2789012,9/5/15,804,NA,NA,NA,NA
4279,2457179.615,62.8038,NA,34,1.4054409,3Eh,MPO139306,1,M-v,0.885911,3.695016,MPCALB,182.80953,22.5,0.4,NA,0.28432759,1,NA,3.466451,95.96533,0.15,2008 GD1,0.6132176,2457400.5,NA,0.7145836,5.03425,6,2.2904635,4/30/08,2803,NA,NA,27,1
4280,2457604.659,212.11769,NA,17,3.7725162,3Eh,MPO138178,1,M-v,0.6579511,1.7978961,MPCW,16.76801,28.3,0.29,NA,0.72434761,1,NA,1.3606832,275.89084,0.15,2008 GF1,0.4641759,2457400.5,NA,0.481678,1.40779,6,1.2279236,4/6/08,2803,NA,NA,2,1
4281,2457336.756,24.95173,NA,34,1.6587997,38h,MPO138179,1,M-v,1.1648971,2.5367103,MPCALB,16.71166,24,0.46,NA,0.39143848,1,NA,2.5179119,194.0622,0.15,2008 GF2,0.3705993,2457400.5,NA,0.7983036,16.74677,8,1.8508037,4/13/08,2804,NA,NA,8,1
4282,2456879.052,165.77206,NA,21,1.4761225,3Eh,MPO139306,1,M-v,0.8937167,3.3586673,MPCADO,189.04477,22.9,0.42,NA,0.31790718,1,NA,3.1003,65.12778,0.15,2008 GK2,0.5796632,2457400.5,NA,0.7058857,11.2047,7,2.126192,4/23/08,2803,NA,NA,17,1
4283,2457225.205,145.16386,NA,22,6.2580249,3Eh,MPO138179,1,M-v,0.9784073,1.2677479,MPCADO,16.53226,27.2,0.5,NA,0.82811264,1,NA,1.1901855,235.69459,0.15,2008 GL2,0.1288159,2457400.5,NA,0.5522209,5.1688,7,1.1230776,4/10/08,2803,NA,NA,4,1
4284,2457249.147,138.27336,NA,54,13.684289,3Eh,MPO138179,1,M-v,0.8864819,1.2173001,MPCADO,195.08886,28.3,0.34,NA,0.91358289,1,NA,1.0788377,278.27874,0.15,2008 GM2,0.1572493,2457400.5,NA,0.5129403,4.09608,5,1.051891,4/14/08,2803,NA,NA,8,1
4285,2457412.514,350.66554,NA,41,4.7233613,3Eh,MPO237371,1,M-v,0.71194,1.6317886,MPCALB,18.7064,25.3,0.55,NA,0.77694112,1,NA,1.2685745,277.98779,0.15,2008 GP3,0.3924723,2457400.5,NA,0.4956784,4.35517,4,1.1718643,4/12/08,2803,NA,NA,9,1
4286,2456908.972,148.90916,NA,38,1.4437835,3Eh,MPO139306,1,M-v,1.0440486,3.3471588,MPCALB,355.95923,18.9,0.49,NA,0.30295152,1,NA,3.2533511,142.65555,0.15,2008 GQ3,0.5244822,2457400.5,NA,0.7958168,25.58128,7,2.1956037,5/6/08,2804,NA,NA,29,1
4287,2457381.839,9.695,NA,53,2.1147138,3Eh,MPO140754,1,M-v,1.0551466,2.0097946,MPCALB,130.59557,24.9,0.46,NA,0.51953623,1,NA,1.8970913,113.11742,0.15,2008 GR3,0.3114735,2457400.5,NA,0.6918984,1.3639,5,1.5324706,7/14/08,2804,NA,NA,98,1
4288,2457315.116,106.52221,NA,57,3.7625248,3Eh,MPO139306,1,M-v,0.5344252,1.174769,MPCALB,196.89024,22.1,0.54,NA,1.24756137,1,NA,0.7900273,187.35801,0.15,2008 GS3,0.3746466,2457400.5,NA,0.3673229,28.75293,7,0.8545971,5/4/08,2802,NA,NA,27,1
4289,2457303.21,25.40345,NA,31,1.3604031,38h,MPO140208,1,M-v,1.1842611,3.6643359,MPCADO,181.95392,22.3,0.39,NA,0.26111086,1,NA,3.7746713,2.52524,0.15,2008 GU3,0.5115036,2457400.5,NA,0.8950075,13.07483,4,2.4242985,5/29/08,2804,NA,NA,52,1
4290,2457345.609,14.57235,NA,188,1.3686533,3Eh,MPO241934,1,M-v,0.9476711,3.8476043,MPCADO,208.65103,18.4,0.33,NA,0.26547812,3,NA,3.7125759,72.90337,0.15,2008 GV3,0.604748,2457400.5,2008-2012,0.7603866,72.89262,0,2.3976377,9/14/12,803,NA,NA,NA,NA
4291,2457424.957,350.69783,NA,14,1.628386,3Eh,MPO138179,1,M-v,0.9894205,2.7838439,MPCS,196.7178,26.3,0.57,NA,0.38034105,1,NA,2.5913786,25.28417,0.15,2008 GX3,0.4755626,2457400.5,NA,0.7299759,9.47224,7,1.8866322,4/12/08,2803,NA,NA,5,1
4292,2457551.237,323.74629,NA,33,1.3227908,38h,MPO139306,1,M-v,1.2450246,3.876627,MPCADO,15.67007,20.7,0.36,NA,0.24051048,1,NA,4.0979821,151.49575,0.15,2008 GY3,0.5138191,2457400.5,NA,0.942371,17.00404,5,2.5608258,5/6/08,2804,NA,NA,28,1
4293,2457802.394,225.81995,NA,20,1.5122747,3Eh,MPO138179,1,M-v,1.0537832,3.0619624,MPCALB,34.30877,25.2,0.47,NA,0.33386916,1,NA,2.9520777,168.22462,0.15,2008 GZ3,0.487926,2457400.5,NA,0.7839757,1.06099,7,2.0578728,4/15/08,2804,NA,NA,7,1
4294,2457037.263,152.04429,NA,160,1.7382045,3Eh,MPO369070,1,M-v,0.5851278,2.9546782,MPCALB,83.09412,19.1,0.36,NA,0.41858135,3,NA,2.3546383,0.65825,0.15,2008 GA4,0.6694012,2457400.5,2008-2015,0.4884065,6.31913,1,1.769903,5/22/15,803,NA,NA,NA,NA
4295,2457500.095,299.45385,NA,42,2.6096015,3Eh,MPO139306,1,M-v,1.0036469,1.7565107,MPCALB,199.52672,23.2,0.52,NA,0.60792254,1,NA,1.6212718,328.94946,0.15,2008 GB4,0.2727612,2457400.5,NA,0.6387014,30.15351,6,1.3800788,5/4/08,2804,NA,NA,25,1
4296,2457545.902,190.38723,NA,25,5.4482347,3Eh,MPO138180,1,M-v,0.7131878,1.0742872,MPCADO,198.83605,26.6,0.52,NA,1.16651165,1,NA,0.8449188,220.77148,0.15,2008 GL20,0.2020165,2457400.5,NA,0.4286317,6.88291,7,0.8937375,4/15/08,2802,NA,NA,6,1
4297,2457500.309,322.22876,NA,51,1.6232762,3Eh,MPO141921,1,M-v,0.9641042,2.8218142,MPCADO,119.60388,22.3,0.48,NA,0.3784358,1,NA,2.6044251,160.60881,0.15,2008 GO20,0.4906894,2457400.5,NA,0.7185899,2.24916,5,1.8929592,8/11/08,2803,NA,NA,124,1
4298,2457489.504,328.00583,NA,72,1.5741034,3Eh,MPO350359,1,M-v,1.093688,2.8242608,MPCR,31.49687,19.4,0.47,NA,0.35946857,2,NA,2.7418465,93.07453,0.15,2008 GP20,0.4417038,2457400.5,2008-2015,0.788387,32.65664,3,1.9589744,10/14/15,804,NA,NA,NA,NA
4299,2457484.753,328.87807,NA,71,1.5994418,38h,E2016-F78,1,M-v,1.1319717,2.7155193,MPCALB,203.53829,22.9,0.43,NA,0.36938789,2,NA,2.6682187,349.58349,0.15,2008 GU20,0.4115793,2457400.5,2008-2016,0.7989339,5.60993,1,1.9237455,3/31/16,804,NA,NA,NA,NA
4300,2457851.412,204.25808,NA,92,1.5394958,3Eh,MPO322189,1,M-v,0.7607259,3.2629559,MPCALB,146.90029,18.9,0.46,NA,0.34539308,5,NA,2.8535826,182.31752,0.15,2008 GV20,0.6218757,2457400.5,2008-2014,0.6169015,18.16392,1,2.0118409,12/26/14,803,NA,NA,NA,NA
4301,2457231.282,45.45351,NA,128,1.374629,3Eh,MPO139307,1,M-v,0.9219694,3.8359756,MPCALB,43.40265,22.1,0.34,NA,0.26860862,1,NA,3.6693077,120.4332,0.15,2008 GW20,0.6124506,2457400.5,NA,0.743315,1.76969,6,2.3789725,5/6/08,2803,NA,NA,25,1
4302,2457094.258,171.24552,NA,30,2.3113344,3Eh,MPO139307,1,M-v,0.8555815,2.0627159,MPCADO,192.25684,25.9,0.42,NA,0.55918403,1,NA,1.762582,305.76023,0.15,2008 GB21,0.4136434,2457400.5,NA,0.6047435,1.49986,7,1.4591487,4/27/08,2803,NA,NA,15,1
4303,2457450.091,341.45589,NA,39,1.611347,38h,MPO140209,1,M-v,1.1159312,2.7002664,MPCALB,27.00698,22.7,0.41,NA,0.37394073,1,NA,2.6357322,166.65632,0.15,2008 GX21,0.4151607,2457400.5,NA,0.789611,9.52261,5,1.9080988,5/30/08,2804,NA,NA,47,1
4304,2457339.881,53.7815,NA,20,10.0154522,3Eh,MPO138181,1,M-v,0.6665292,1.4787576,MPCS,197.4425,27.6,0.44,NA,0.88719891,1,NA,1.1109207,259.92601,0.15,2008 GY21,0.3786106,2457400.5,NA,0.4594421,1.87665,8,1.0726434,4/14/08,2803,NA,NA,1,1
4305,2458125.819,211.57841,NA,84,1.2620171,38h,MPO140763,1,M-v,1.2098458,4.4942538,MPCADO,163.85982,22.1,0.39,NA,0.20462958,1,NA,4.8165454,72.55463,0.15,2008 GA110,0.5757978,2457400.5,NA,0.9532362,2.9416,4,2.8520498,7/5/08,2804,NA,NA,82,1
4306,2457247.598,60.48781,NA,93,1.6704925,38h,MPO264979,1,M-v,1.2378174,2.4378008,MPCADO,203.59311,19.7,0.48,NA,0.39559745,2,NA,2.4914409,315.05393,0.15,2008 GB110,0.3264712,2457400.5,2008-2013,0.8209645,36.1171,2,1.8378091,5/9/13,804,NA,NA,NA,NA
4307,2457219.257,156.73117,NA,87,8.1556899,3Eh,E2016-H03,1,M-v,0.9228925,1.2593489,MPCALB,206.49801,22.1,0.4,NA,0.86475864,2,NA,1.1397489,142.63631,0.15,2008 GC110,0.1541793,2457400.5,2008-2016,0.5325917,13.98081,3,1.0911207,4/15/16,803,NA,NA,NA,NA
4308,2457298.157,97.52023,NA,108,30.1162731,3Eh,MPO140763,1,M-v,0.7625367,1.2829985,MPCADO,213.12367,24.5,0.46,NA,0.95288097,1,NA,1.0343451,100.96549,0.15,2008 GD110,0.254438,2457400.5,NA,0.4782775,5.34645,5,1.0227676,4/23/08,2803,NA,NA,10,1
4309,2457835.581,215.79756,NA,60,1.5066546,38h,MPO221121,1,M-v,1.2512412,2.8846058,MPCALB,53.61205,22.3,0.48,NA,0.33143806,3,NA,2.9737312,153.52399,0.15,2008 GE110,0.3949287,2457400.5,2005-2011,0.8726961,3.88545,1,2.0679235,5/22/11,804,NA,NA,NA,NA
4310,2457584.347,233.8199,NA,77,3.2933121,3Eh,MPO339416,1,M-v,0.9154921,1.6302231,MPCALB,205.92448,19.8,0.44,NA,0.68633216,4,NA,1.4360506,248.65842,0.15,2008 GH110,0.2807584,2457400.5,2008-2015,0.5862621,29.24295,3,1.2728576,4/17/15,803,NA,NA,NA,NA
4311,2457362.42,19.275,NA,69,2.0557647,3Eh,MPO294837,1,M-v,0.278426,2.8402302,MPCALB,38.46779,20.5,0.43,NA,0.50617165,3,NA,1.9471807,29.15724,0.15,2008 GJ110,0.8214449,2457400.5,2008-2014,0.2535688,13.58842,3,1.5593281,4/24/14,803,NA,NA,NA,NA
4312,2457233.765,66.87393,NA,12,1.6861562,3Eh,MPO139311,1,M-v,0.9769632,2.6650922,MPCS,182.60213,25.8,0.94,NA,0.40107836,1,NA,2.4573942,347.39087,0.15,2008 GE128,0.46351,2457400.5,NA,0.7148977,1.72248,9,1.8210277,4/16/08,2803,NA,NA,2,1
4313,2457938.688,185.71968,NA,84,1.4893284,3Eh,MPO140764,1,M-v,1.0393885,3.1610055,MPCADO,43.02765,23.8,0.52,NA,0.32382772,1,NA,3.0436173,198.01857,0.15,2008 HG,0.5050995,2457400.5,NA,0.7821916,5.89072,6,2.100197,5/13/08,2804,NA,NA,19,1
4314,2457583.699,246.93534,NA,48,2.6751021,3Eh,MPO140214,1,M-v,0.8804437,1.8520723,MPCALB,196.68809,21.9,0.41,NA,0.61717025,1,NA,1.5969785,115.98632,0.15,2008 HH,0.3555802,2457400.5,NA,0.596756,16.31961,5,1.366258,6/10/08,A803,1,NA,47,1
4315,2457660.899,236.97609,NA,78,1.9206488,3Eh,MPO139312,1,M-v,0.968288,2.2970838,MPCALB,47.47326,25.8,0.54,NA,0.47244375,1,NA,2.0861905,204.13229,0.15,2008 HJ,0.4069355,2457400.5,NA,0.6811594,0.926,5,1.6326859,4/30/08,2803,NA,NA,6,1
4316,2457318.913,21.54131,NA,78,1.3659036,3Eh,MPO139312,1,M-v,1.0698174,3.7429948,MPCADO,34.20669,22.2,0.47,NA,0.26402843,1,NA,3.7329604,191.87674,0.15,2008 HK,0.5554294,2457400.5,NA,0.8320127,17.46575,6,2.4064061,5/8/08,2804,NA,NA,13,1
4317,2457666.607,296.80037,NA,276,1.3174634,3Eh,E2016-G77,1,M-v,0.1015513,5.0633251,MPCADO,128.84229,17.4,0.37,NA,0.23749757,4,1,4.1499695,249.29106,0.15,2008 HW1,0.9606762,2457400.5,2008-2016,0.0995546,10.58673,1,2.5824382,4/4/16,1803,NA,NA,NA,NA
4318,2457020.676,114.03689,NA,19,1.4380638,3Eh,MPO139312,1,M-v,0.9205606,3.4970814,MPCS,212.03075,23.7,0.38,NA,0.30023637,1,NA,3.2827725,48.66425,0.15,2008 HX1,0.5832344,2457400.5,NA,0.7287316,6.75203,8,2.208821,4/28/08,2803,NA,NA,2,1
4319,2457565.58,281.96493,NA,16,1.9216463,3Eh,MPO139312,1,M-v,0.9226125,2.3415325,MPCS,33.815,23.7,0.34,NA,0.47271012,1,NA,2.0850149,108.54324,0.15,2008 HY1,0.4346988,2457400.5,NA,0.6618356,24.63475,9,1.6320725,4/28/08,2803,NA,NA,2,1
4320,2457697.12,252.32235,NA,44,1.5830721,3Eh,E2016-GF5,1,M-v,0.6335422,3.2588412,MPCALB,31.5583,19.2,0.46,NA,0.36301591,3,NA,2.7150537,311.14082,0.15,2008 HZ1,0.6744708,2457400.5,2008-2016,0.530424,31.59324,2,1.9461917,4/14/16,803,NA,NA,NA,NA
4321,2457090.667,131.261,NA,70,1.7538867,3Eh,MPO335206,1,M-v,1.0502165,2.4612913,MPCADO,215.38409,24.4,0.3,NA,0.42365136,2,NA,2.3264593,314.66242,0.15,2008 HA2,0.401843,2457400.5,2008-2015,0.7361193,1.34889,1,1.7557539,3/23/15,804,NA,NA,NA,NA
4322,2457784.458,187.51141,NA,28,1.8375535,3Eh,MPO139312,1,M-v,1.0425681,2.3343067,MPCADO,41.98865,25.5,0.81,NA,0.44923816,1,NA,2.1939536,168.06611,0.15,2008 HB2,0.3825249,2457400.5,NA,0.7206881,0.69445,7,1.6884374,5/8/08,2804,NA,NA,11,1
4323,2457241.714,112.84273,NA,50,3.5846736,3Eh,MPO349249,1,M-v,0.5938347,1.8934525,MPCADO,211.80679,19.7,0.4,NA,0.71065721,2,NA,1.386896,142.9983,0.15,2008 HC2,0.5225041,2457400.5,2008-2015,0.4520579,45.49345,3,1.2436436,6/18/15,803,NA,NA,NA,NA
4324,2457243.169,87.21741,NA,25,2.2854675,3Eh,MPO139312,1,M-v,0.8131099,2.1221009,MPCALB,40.21722,25,0.36,NA,0.55435774,1,NA,1.7779271,255.72274,0.15,2008 HD2,0.4459615,2457400.5,NA,0.5878628,2.96872,7,1.4676054,5/4/08,2803,NA,NA,7,1
4325,2457752.991,239.54174,NA,33,1.5307488,3Eh,MPO140215,1,M-v,1.0985705,2.9537761,MPCALB,38.81842,23.6,0.52,NA,0.34173479,1,NA,2.8841303,187.25796,0.15,2008 HE2,0.4578102,2457400.5,NA,0.8007536,9.47004,6,2.0261733,5/30/08,2804,NA,NA,33,1
4326,2457104.073,132.03819,NA,102,1.8246083,3Eh,MPO258367,1,M-v,0.4317299,2.9643505,MPCADO,208.79953,19.6,0.43,NA,0.44543274,3,NA,2.212697,153.75467,0.15,2008 HF2,0.7457481,2457400.5,2008-2013,0.3768459,14.55204,2,1.6980402,3/3/13,803,NA,NA,NA,NA
4327,2457815.457,262.71463,NA,56,1.3121132,3Eh,MPO148623,1,M-v,0.7306804,4.4789004,MPCALB,210.20241,19,0.43,NA,0.23444711,2,NA,4.2039658,130.87204,0.15,2008 HE3,0.7194859,2457400.5,2008-2008,0.6281974,31.08427,3,2.6047904,12/3/08,803,NA,NA,NA,NA
4328,2457303.276,38.18909,NA,70,1.6625949,3Eh,MPO262019,1,M-v,0.9716741,2.7214075,MPCADO,45.3776,23.1,0.56,NA,0.39279477,2,NA,2.5092178,134.16618,0.15,2008 HJ3,0.4737868,2457400.5,2008-2013,0.7160203,18.23518,2,1.8465408,5/14/13,803,NA,NA,NA,NA
4329,2456557.255,167.52345,NA,197,1.2524519,3Eh,MPO281893,1,M-v,1.0010279,4.8166761,MPCALB,206.67903,18.2,0.42,NA,0.19866512,2,1,4.9611509,128.42423,0.15,2008 HO3,0.6558684,2457400.5,2008-2013,0.8287852,13.93733,0,2.908852,12/27/13,1804,NA,NA,NA,NA
4330,2457441.494,334.42713,NA,22,2.7242399,3Eh,MPO139312,1,M-v,0.9999987,1.7130761,MPCALB,211.72368,27.5,0.38,NA,0.6238159,1,NA,1.5799657,334.91836,0.15,2008 HQ3,0.26283,2457400.5,NA,0.6314142,1.78852,7,1.3565374,5/6/08,2803,NA,NA,7,1
4331,2457391.061,2.47697,NA,58,1.3628403,3Eh,MPO140215,1,M-v,0.817222,4.0154016,MPCALB,225.5406,24.8,0.47,NA,0.26240651,1,NA,3.7560335,64.03285,0.15,2008 HR3,0.6617895,2457400.5,NA,0.6790255,3.81412,6,2.4163118,5/9/08,2803,NA,NA,10,1
4332,2457469.483,316.70553,NA,447,2.7531104,3Eh,MPO288457,1,M-v,1.0458348,1.6562952,MPCALB,227.81039,21.7,0.33,NA,0.62760982,3,NA,1.5704147,4.62583,0.15,2008 HS3,0.2259182,2457400.5,2008-2014,0.641054,8.17679,0,1.351065,1/1/14,8804,1,NA,NA,NA
4333,2457614.595,234.62528,NA,21,2.4639886,3Eh,MPO139312,1,M-v,1.0897236,1.7401302,MPCADO,36.06952,23.2,0.28,NA,0.58560271,1,NA,1.6830655,138.54503,0.15,2008 HT4,0.2298375,2457400.5,NA,0.6700915,16.70988,8,1.4149269,5/5/08,2804,NA,NA,5,1
4334,2457490.686,282.1937,NA,64,8.0209735,3Eh,MPO140215,1,M-v,1.0126525,1.1730103,MPCALB,221.30597,28.2,0.51,NA,0.86272883,1,NA,1.1424304,341.5658,0.15,2008 HU4,0.073368,2457400.5,NA,0.5434744,1.25751,3,1.0928314,6/10/08,2804,NA,NA,41,1
4335,2457562.234,266.43604,NA,222,2.4210216,3Eh,MPO346230,1,M-v,1.0300352,1.8229224,MPCALB,224.0387,19.6,0.4,NA,0.57850365,3,NA,1.7037191,249.46913,0.15,2008 HV4,0.2779176,2457400.5,2008-2015,0.6581501,20.81664,1,1.4264788,8/11/15,804,NA,NA,NA,NA
4336,2457469.004,330.07623,NA,45,1.7959591,38h,MPO281893,NA,M-v,1.1104395,2.3301573,MPCADO,26.1008,18.4,0.47,NA,0.43681586,4,NA,2.2563459,1.56011,0.15,2008 HY37,0.3545076,2457400.5,2008-2013,0.7520494,35.14373,2,1.7202984,12/23/13,0C04,NA,NA,NA,NA
4337,2457621.028,239.86867,NA,47,2.2356299,38h,MPO322190,NA,M-v,1.2854261,1.6842175,MPCALB,45.51591,20.2,0.35,NA,0.54474417,4,NA,1.8093038,21.12801,0.15,2008 HA38,0.1342893,2457400.5,2003-2014,0.7290225,17.5943,1,1.4848218,12/13/14,0C04,NA,NA,NA,NA
4338,2457442.853,343.46376,NA,172,1.6560091,3Eh,MPO278231,NA,M-v,0.9409869,2.7669463,MPCALB,102.68066,21.2,0.39,NA,0.39043724,4,NA,2.5243691,209.53604,0.15,2008 HB38,0.4924467,2457400.5,2008-2013,0.7021864,1.02117,0,1.8539666,10/27/13,8C03,1,NA,NA,NA
4339,2457184.877,146.00795,NA,32,3.1952235,3Eh,MPO139316,1,M-v,0.6633183,1.9053715,MPCADO,213.37012,26.3,0.6,NA,0.67714482,1,NA,1.4555345,272.2083,0.15,2008 HC38,0.4835357,2457400.5,NA,0.4920282,1.50994,7,1.2843449,5/8/08,2803,NA,NA,8,1
4340,2457624.06,225.46569,NA,98,2.5678583,38h,MPO267464,1,M-v,1.1739133,1.6049861,MPCALB,203.28296,21.9,0.3,NA,0.60178286,2,NA,1.6378127,59.59979,0.15,2008 HE66,0.1551236,2457400.5,2008-2013,0.6780075,6.94387,1,1.3894497,8/8/13,804,NA,NA,NA,NA
4341,2457254.52,134.66094,NA,17,15.6087018,3Eh,MPO139317,1,M-v,0.5610933,1.5291657,MPCALB,47.90358,26.5,0.64,NA,0.92246294,1,NA,1.0684524,58.17027,0.15,2008 JC,0.4631351,2457400.5,NA,0.4104777,2.50209,8,1.0451295,5/3/08,2803,NA,NA,2,1
4342,2457564.988,193.83011,NA,28,40.0332574,3Eh,MPO139317,1,M-v,0.8919659,1.0754067,MPCALB,39.16177,25.8,0.49,NA,1.01022739,1,NA,0.9756295,316.91009,0.15,2008 JE,0.0932415,2457400.5,NA,0.4875671,6.9684,6,0.9836863,5/8/08,2802,NA,NA,7,1
4343,2457486.92,281.07396,NA,124,13.6283715,3Eh,MPO227472,1,M-v,0.740448,1.3637878,MPCADO,128.84709,20.8,0.5,NA,0.91328738,4,NA,1.0791868,242.27578,0.15,2008 JG,0.296231,2457400.5,2008-2012,0.4798958,7.90672,3,1.0521179,3/15/12,8803,1,NA,NA,NA
4344,2457182.339,93.49487,NA,245,1.7693399,3Eh,MPO361143,1,M-v,1.082706,2.40194,MPCALB,72.01245,19.2,0.33,NA,0.42855943,2,NA,2.2998155,219.99866,0.15,2008 JJ,0.3785848,2457400.5,2008-2015,0.746301,44.55581,1,1.742323,12/9/15,804,NA,NA,NA,NA
4345,2457514.877,259.08157,NA,55,9.5435857,3Eh,MPO140219,1,M-v,0.2117562,1.9414102,MPCALB,216.46717,20.7,0.45,NA,0.88233334,1,NA,1.1170469,158.74594,0.15,2008 JN,0.8033072,2457400.5,NA,0.1909307,31.98255,8,1.0765832,5/29/08,2803,NA,NA,28,1
4346,2457493.771,312.21084,NA,42,2.082687,3Eh,MPO176260,1,M-v,0.5431761,2.5502807,MPCW,31.12965,20.8,0.59,NA,0.51236915,2,NA,1.923628,307.28677,0.15,2008 JP,0.6488226,2457400.5,2008-2010,0.4478005,18.38426,3,1.5467284,5/4/10,803,NA,NA,NA,NA
4347,2457489.492,274.41296,NA,45,41.2855793,3Eh,MPO139317,1,M-v,0.906897,1.1260646,MPCALB,220.69251,25.6,0.43,NA,0.96173479,1,NA,1.0248228,259.68067,0.15,2008 JQ,0.1078071,2457400.5,NA,0.5023334,13.70667,5,1.0164808,5/15/08,2803,NA,NA,13,1
4348,2457047.086,104.14407,NA,148,1.4264999,3Eh,MPO140219,1,M-v,1.0763673,3.3966289,MPCADO,65.60651,22.8,0.7,NA,0.29468042,1,NA,3.3446663,175.73585,0.15,2008 JU2,0.5187265,2457400.5,NA,0.8173537,10.6514,6,2.2364981,5/30/08,2804,NA,NA,27,1
4349,2457856.268,211.06725,NA,49,1.4959871,3Eh,MPO294838,1,M-v,1.0026302,3.1724836,MPCADO,48.44387,24.7,0.43,NA,0.32677331,3,NA,3.0161816,138.51922,0.15,2008 JV2,0.5197112,2457400.5,2008-2014,0.7618542,3.18957,2,2.0875569,5/3/14,804,NA,NA,NA,NA
4350,2457335.44,16.85455,NA,41,1.3565672,3Eh,MPO140220,1,M-v,0.88545,3.9886742,MPCADO,35.61679,19.6,0.31,NA,0.25906228,1,NA,3.8045202,142.16577,0.15,2008 JW2,0.6366732,2457400.5,NA,0.7245961,8.85441,5,2.4370621,5/30/08,A803,1,NA,27,1
4351,2456883.859,160.49704,NA,29,1.4602614,3Eh,MPO139317,1,M-v,0.9837428,3.3345694,MPCALB,40.24967,25.4,0.51,NA,0.31065476,1,NA,3.1726785,155.55556,0.15,2008 JL3,0.5443855,2457400.5,NA,0.7596391,0.89854,7,2.1591561,5/9/08,2803,NA,NA,4,1
4352,2457839.253,260.54651,NA,209,1.2986726,3Eh,MPO147446,1,M-v,0.9416539,4.3863701,MPCALB,218.66575,18.6,0.43,NA,0.22667301,1,NA,4.3481475,70.00482,0.15,2008 JZ7,0.6465279,2457400.5,NA,0.7752297,24.14857,2,2.664012,11/4/08,2803,NA,NA,183,1
4353,2457646.263,274.69803,NA,67,1.5435881,3Eh,MPO140221,1,M-v,0.4095224,3.601031,MPCALB,117.04804,21.1,0.45,NA,0.3470904,1,NA,2.8396281,349.60675,0.15,2008 JO14,0.7957776,2457400.5,NA,0.3677056,4.96959,6,2.0052767,5/29/08,2803,NA,NA,22,1
4354,2457447.701,341.57082,NA,154,1.6560092,3Eh,MPO281893,NA,M-v,0.7060817,3.0018513,MPCALB,129.10378,19.3,0.43,NA,0.39043724,4,NA,2.5243689,206.37961,0.15,2008 JP14,0.6191508,2457400.5,2008-2013,0.5716263,10.71872,1,1.8539665,12/25/13,0C03,NA,NA,NA,NA
4355,2457433.771,351.50939,NA,87,1.349389,38h,MPO241936,1,M-v,1.1857314,3.7374814,MPCALB,203.98081,19.1,0.41,NA,0.25519735,2,NA,3.8621392,22.17036,0.15,2008 JQ14,0.5183099,2457400.5,2008-2012,0.9001539,14.51668,1,2.4616064,9/21/12,804,NA,NA,NA,NA
4356,2457659.32,239.17714,NA,51,1.8998331,3Eh,MPO140221,1,M-v,1.0281862,2.2633526,MPCALB,231.26421,25,0.5,NA,0.46682125,1,NA,2.1113171,333.3087,0.15,2008 JR14,0.375255,2457400.5,NA,0.7070091,7.86402,6,1.6457694,6/11/08,2804,NA,NA,36,1
4357,2457615.92,285.84836,NA,75,1.5366774,38h,MPO265708,1,M-v,1.1769443,2.8558827,MPCW,198.91702,19.8,0.48,NA,0.34421886,3,NA,2.8633168,304.22812,0.15,2008 JT19,0.416318,2457400.5,2001-2008,0.8334637,14.08888,2,2.0164135,6/22/08,804,NA,NA,NA,NA
4358,2457070.881,149.17095,NA,41,1.8489892,3Eh,MPO140221,1,M-v,0.6231172,2.737235,MPCADO,56.55604,20.8,0.62,NA,0.45255552,1,NA,2.1778713,289.45025,0.15,2008 JW19,0.6291358,2457400.5,NA,0.5075712,17.36101,7,1.6801761,6/7/08,2803,NA,NA,30,1
4359,2457543.58,223.50986,NA,104,31.1254838,3Eh,MPO158148,1,M-v,0.4169185,1.6270995,MPCS,64.95024,21,0.47,NA,0.95394208,2,NA,1.0331945,27.7172,0.15,2008 JM20,0.5920599,2457400.5,2008-2009,0.3318796,22.48768,4,1.022009,5/17/09,803,NA,NA,NA,NA
