"","name","id.x","spkid","full_name","pdes","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT","id.y","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation"
"109","Lemmon","dK14L050",1003320,"     C/2014 L5 (Lemmon)","2014 L5","C","","",NA,NA,5.6,12.7,13,5,0.03,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 17",2456905.5,56905,20140905,"J2000",1.00264485030752,-2345.37643353576,6.20316958148472,122.805106259835,35.6834690222332,45.6113311237033,-0.000714838104617132,NA,8.6773125036538e-06,2456987.88012683,20141126.3801268,NA,NA,5.39987,2101.4674079,NA,-1.67,3.7806e-05,33.514,3.2174e-05,0.00011217,0.00010721,0.00073519,1.5305e-05,NA,1.8599e-07,0.008273,NA,"HYP","Otto Matic",702,"2013-10-12","2015-09-14",76,NA,NA,"",0.65534,NA,NA,NA,NA,NA,12762,"Valid","H5","6680","Found",1984,45.93333,-102.18333,"(45.933330, -102.183330)"
"110","Lemmon","dK11V05J",1003169,"     P/2011 VJ5 (Lemmon)","2011 VJ5","P","","",NA,NA,15.8,NA,17,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 9",2455957.5,55957,20120131,"J2000",0.557271268303245,3.40251130094377,1.50638951285071,3.97275874766744,169.997836909233,315.125793614728,8.36973660128522,5.29863308903683,0.157037983316151,2455904.20247016,20111208.7024702,2292.43901633176,6.27635596531626,0.525081,204.34577277,NA,2.869,3.4488e-05,0.00028076,7.7368e-06,7.846e-05,0.00035167,0.00060162,0.00093362,0.00043722,1.9437e-05,0.00089152,0.28374,"JFc","Otto Matic",148,"2011-11-03","2012-03-30",66,NA,NA,"5",0.86675,NA,NA,NA,NA,NA,12762,"Valid","H5","6680","Found",1984,45.93333,-102.18333,"(45.933330, -102.183330)"
"111","Lemmon","dK09S030",1003039,"     C/2009 S3 (Lemmon)","2009 S3","C","","",NA,NA,8.7,11,8,5,0.03,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 61",2455886.5,55886,20111121,"J2000",1.00141740790405,-4567.85617325841,6.47451544452629,60.3846281668452,225.132497811166,129.759925689873,-6.46148137535272e-05,NA,3.19253334826303e-06,2455906.73935436,20111211.2393544,NA,NA,5.72603,2228.3990951,NA,NA,1.0933e-05,35.229,8.8221e-06,2.6789e-05,2.9742e-05,0.00010025,7.4619e-07,NA,3.6933e-08,0.0013354,NA,"HYP","Otto Matic",1586,"2009-09-24","2014-01-27",281,NA,NA,"",0.80214,NA,NA,NA,NA,NA,12762,"Valid","H5","6680","Found",1984,45.93333,-102.18333,"(45.933330, -102.183330)"
"112","Lemmon","dK12K080",1003194,"     C/2012 K8 (Lemmon)","2012 K8","C","","",NA,NA,5.9,10.2,10,5,0.03,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 95",2456715.5,56715,20140227,"J2000",1.00236334612239,-2734.68234016355,6.46300090458294,106.111231248703,312.8056148901,75.8497746564636,-0.00119458542299692,NA,6.89197581484943e-06,2456888.8298919,20140819.3298919,NA,NA,6.08088,2366.4960696,3.87346,0.208,7.9238e-06,9.1656,7.9865e-06,1.435e-05,2.2283e-05,0.00010785,6.0001e-06,NA,3.4649e-08,0.0013746,NA,"HYP","Otto Matic",1411,"2012-05-30","2016-04-10",962,NA,NA,"",0.60865,NA,NA,NA,NA,NA,12762,"Valid","H5","6680","Found",1984,45.93333,-102.18333,"(45.933330, -102.183330)"
"113","Leonora","a0000696",2000696,"   696 Leonora (1910 JJ)","696","","N","N",9.4,NA,NA,NA,NA,NA,NA,"75.76","",0.0773,26.8964,NA,NA,NA,NA,"","XC",NA,2,"JPL 16",2457400.5,57400,20160113,"J2000",0.250904283856569,3.17015922274646,2.37475269325196,13.0369965734886,299.519152192336,104.131140886161,272.700817677236,3.96556575224096,0.174615366881875,2457900.45131518,20170526.9513152,2061.67421818914,5.64455638107909,1.42346,553.9679282,1.70993,3.114,4.5042e-08,1.9628e-08,1.417e-07,5.2869e-06,2.3249e-05,2.5454e-05,9.9272e-06,2.4553e-08,1.6217e-09,5.8808e-05,1.9147e-05,"MBA","Otto Matic",34839,"1920-10-23","2016-03-12",1261,NA,NA,"0",0.53413,NA,NA,NA,NA,NA,55550,"Valid","L4","2572","Found",1990,-28.84519,121.397,"(-28.845190, 121.397000)"
"114","Lichtenberg","a0007970",2007970,"  7970 Lichtenberg (6065 P-L)","7970","","N","N",14.1,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 17",2457400.5,57400,20160113,"J2000",0.24338342085736,2.5757659418432,1.94886721558952,4.15498859839335,348.215567302509,289.183301451112,195.588766676946,3.20266466809688,0.23842098576369,2458090.08373273,20171202.5837327,1509.93419831261,4.13397453336786,0.935825,364.19501525,1.95512,3.381,5.5504e-08,1.5402e-08,1.4624e-07,5.3283e-06,8.7046e-05,8.7927e-05,1.7294e-05,1.915e-08,2.1385e-09,7.6128e-05,1.3543e-05,"MBA","Otto Matic",20220,"1960-09-24","2016-02-03",1072,NA,NA,"0",0.51548,NA,NA,NA,NA,NA,14646,"Valid","H6","4000","Fell",1973,-26.15,26.18333,"(-26.150000, 26.183330)"
"115","Loomis","a0188061",2188061,"188061 Loomis (2001 VJ131)","188061","","N","N",16.9,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 8",2457400.5,57400,20160113,"J2000",0.178544225377604,2.52055457112872,2.07052410770457,15.7695450859251,189.882109248256,162.27425924082,237.893784261308,2.97058503455288,0.246297450915313,2457896.26727362,20170522.7672736,1461.64728324282,4.00177216493586,1.06957,416.2445569,2.49814,3.382,1.2465e-07,2.3122e-08,3.1502e-07,1.3171e-05,4.4247e-05,6.2504e-05,4.982e-05,2.725e-08,3.389e-09,0.00020505,2.0112e-05,"MBA","Otto Matic",4878,"2001-11-11","2015-03-21",90,NA,NA,"0",0.69732,NA,NA,NA,NA,NA,14698,"Valid","L6","3020","Found",1933,40.46667,-99.5,"(40.466670, -99.500000)"
"116","Loyola","a0003589",2003589,"  3589 Loyola (1984 AB1)","3589","","N","N",13.7,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 14",2457400.5,57400,20160113,"J2000",0.164457898008813,2.24481757717175,1.87563959701685,4.46434454950852,111.358167570699,286.422762932964,250.682842730425,2.61399555732665,0.293043769737372,2457773.54037335,20170120.0403733,1228.48542496786,3.36340978772858,0.887641,345.44324797,2.80185,3.61,5.515e-08,1.0951e-08,1.2164e-07,4.3215e-06,7.3478e-05,7.4855e-05,1.5626e-05,1.2752e-08,2.1443e-09,5.4719e-05,8.9892e-06,"MBA","Otto Matic",16737,"1969-10-17","2015-08-14",1203,NA,NA,"0",0.5312,NA,NA,NA,NA,NA,14720,"Valid","L5","2077","Found",1947,NA,NA,""
"117","Madrid","a0014967",2014967," 14967 Madrid (1997 PF4)","14967","","N","N",14.5,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 10",2457400.5,57400,20160113,"J2000",0.142655699700829,2.56226247846841,2.19674113178531,6.03860189776548,303.966798246976,60.6187823746112,147.8490658693,2.9277838251515,0.240308232191995,2456785.25238854,20140507.7523885,1498.07601976938,4.10150860990932,1.19981,466.9300577,2.54129,3.412,8.9349e-08,2.2587e-08,2.1969e-07,7.0298e-06,6.4133e-05,6.9943e-05,3.4046e-05,2.5809e-08,3.1775e-09,0.0001375,1.9809e-05,"MBA","Otto Matic",12565,"1981-10-23","2016-03-18",708,NA,NA,"0",0.56628,NA,NA,NA,NA,NA,15382,"Valid","L6","400","Fell",1896,40.41667,-3.71667,"(40.416670, -3.716670)"
"118","Majuba","a0001321",2001321,"  1321 Majuba (1934 JH)","1321","","N","N",10.28,NA,NA,NA,NA,NA,NA,"30.8","",0.1439,5.207,NA,0.83,0.47,NA,"","",NA,NA,"JPL 20",2457400.5,57400,20160113,"J2000",0.169335238544793,2.94033003063027,2.44242854349308,9.50914020909977,317.727751997117,345.734567056342,14.9342668371714,3.43823151776746,0.195483431767423,2457324.10341384,20151028.6034138,1841.58829597544,5.04199396570961,1.42674,555.2444058,1.8224,3.231,4.6014e-08,1.7819e-08,1.4078e-07,5.0831e-06,3.2424e-05,3.6105e-05,1.8869e-05,2.0837e-08,1.777e-09,9.6245e-05,1.6741e-05,"MBA","Otto Matic",39295,"1908-03-25","2015-10-25",1282,NA,NA,"0",0.53593,NA,NA,NA,NA,NA,30752,"Valid","L5","370","Found",1999,40.6265,-118.41033,"(40.626500, -118.410330)"
"119","Marburg","a0256813",2256813,"256813 Marburg (2008 CW116)","256813","","N","N",16.2,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 12",2457400.5,57400,20160113,"J2000",0.0276462782467182,2.71917605594688,2.64400095810236,8.0872344372876,100.186419718438,281.035402842814,44.0766807149062,2.7943511537914,0.219810322205657,2457199.97856737,20150626.4785674,1637.77568035763,4.48398543561295,1.65937,645.7770229,2.35091,3.344,6.1895e-08,3.2588e-08,1.7064e-07,6.894e-06,4.8687e-05,0.00014273,0.00013082,3.3489e-08,3.9515e-09,0.00059541,2.9442e-05,"MBA","Otto Matic",5225,"2001-10-11","2016-01-31",250,NA,NA,"0",0.62082,NA,NA,NA,NA,NA,15413,"Valid","Pallasite","3000","Found",1906,50.81667,8.76667,"(50.816670, 8.766670)"
"120","Marsland","a0018012",2018012," 18012 Marsland (1999 JM114)","18012","","N","N",14,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 18",2457400.5,57400,20160113,"J2000",0.114487502755806,2.31871072713281,2.05324732637027,5.15611224432003,236.616960136166,345.987378363734,268.586598700941,2.58417412789534,0.279147804889829,2457727.97311531,20161205.4731153,1289.63937274047,3.53084017177406,1.04408,406.3246136,2.39628,3.565,4.9609e-08,1.2059e-08,1.1856e-07,4.9515e-06,5.3264e-05,5.7913e-05,2.4389e-05,1.344e-08,2.1777e-09,8.8398e-05,1.0061e-05,"MBA","Otto Matic",10228,"1988-03-10","2016-03-11",1514,NA,NA,"0",0.50454,NA,NA,NA,NA,NA,15434,"Valid","H5","6850","Found",1933,42.45,-103.3,"(42.450000, -103.300000)"
"121","Mercedes","a0001136",2001136,"  1136 Mercedes (1929 UA)","1136","","N","N",11.2,NA,NA,NA,NA,NA,NA,"25.28","",0.11,24.64,NA,NA,NA,NA,"","",NA,2.1,"JPL 25",2457400.5,57400,20160113,"J2000",0.255806827855647,2.56523267241244,1.90902863977095,8.98162163961179,209.535478323546,148.472470088035,27.7262474718573,3.22143670505392,0.239890986177437,2457284.9214703,20150919.4214703,1500.68164601118,4.1086424257664,0.91078,354.4482526,2.26593,3.369,4.2847e-08,8.2137e-09,1.1137e-07,6.1432e-06,2.1707e-05,2.4252e-05,8.675e-06,1.0315e-08,1.1522e-09,3.6246e-05,7.2076e-06,"MBA","Otto Matic",31038,"1931-03-10","2016-03-01",1972,NA,NA,"0",0.49125,NA,NA,NA,NA,NA,34496,"Valid","H5","3301","Found",1994,-34.66667,-59.33333,"(-34.666670, -59.333330)"
"122","Messina","a0001949",2001949,"  1949 Messina (1936 NE)","1949","","N","N",13.4,NA,NA,NA,NA,NA,NA,"","",NA,3.6491,NA,NA,NA,NA,"","",NA,NA,"JPL 17",2457400.5,57400,20160113,"J2000",0.228981631889258,2.38505677871632,1.83892258537732,4.65202962265167,265.156474946644,66.0606293471734,184.322724102885,2.93119097205532,0.267581442360782,2458057.03759225,20171030.5375922,1345.38478013961,3.68346277930078,0.832148,323.84703716,2.43859,3.495,4.2138e-08,9.716e-09,9.8449e-08,5.1848e-06,6.2144e-05,6.3465e-05,1.7168e-05,1.1941e-08,1.6351e-09,6.6596e-05,8.2211e-06,"MBA","Otto Matic",29107,"1936-07-08","2016-03-17",1421,NA,NA,"0",0.50893,NA,NA,NA,NA,NA,15495,"Valid","L5","2405","Fell",1955,38.18333,15.56667,"(38.183330, 15.566670)"
"123","Mihonoseki","a0009382",2009382,"  9382 Mihonoseki (1993 TK11)","9382","","N","N",14.6,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 18",2457400.5,57400,20160113,"J2000",0.143020424494737,2.16262123350311,1.85332222666617,3.75245623034382,182.222763780511,208.770407468053,352.823592331051,2.47192024034006,0.309908422767527,2457423.65654284,20160205.1565428,1161.63348122374,3.18037914092741,0.857987,333.90280079,2.95578,3.679,5.9291e-08,1.1149e-08,1.3205e-07,5.9504e-06,6.6046e-05,6.804e-05,1.6505e-05,1.2743e-08,2.3964e-09,5.3288e-05,8.9826e-06,"MBA","Otto Matic",20923,"1958-10-09","2016-01-21",1074,NA,NA,"0",0.54859,NA,NA,NA,NA,NA,16635,"Valid","L6","6380","Fell",1992,35.56833,133.22,"(35.568330, 133.220000)"
"124","Miles","a0004119",2004119,"  4119 Miles (1983 BE)","4119","","N","N",11.7,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 16",2457400.5,57400,20160113,"J2000",0.13000042663177,2.88354350484001,2.50868161899954,13.0048092438496,115.343096276395,77.7638228872436,196.389465424984,3.25840539068048,0.201286343977145,2458213.32481137,20180404.8248114,1788.4968889935,4.89663761531417,1.54873,602.7192541,1.86765,3.243,5.6918e-08,2.4021e-08,1.5756e-07,5.9497e-06,2.4619e-05,3.3226e-05,2.2945e-05,2.7143e-08,2.5152e-09,0.00011547,2.2348e-05,"MBA","Otto Matic",23537,"1951-09-01","2016-02-09",1230,NA,NA,"0",0.47256,NA,NA,NA,NA,NA,16641,"Valid","Iron, IIE","265000","Found",1992,-27.83333,150.33333,"(-27.833330, 150.333330)"
