"","name","id.x","spkid","full_name","pdes","prefix","neo","pha","H","G","M1","M2","K1","K2","PC","diameter","extent","albedo","rot_per","GM","BV","UB","IR","spec_B","spec_T","H_sigma","diameter_sigma","orbit_id","epoch","epoch_mjd","epoch_cal","equinox","e","a","q","i","om","w","ma","ad","n","tp","tp_cal","per","per_y","moid","moid_ld","moid_jup","t_jup","sigma_e","sigma_a","sigma_q","sigma_i","sigma_om","sigma_w","sigma_ma","sigma_ad","sigma_n","sigma_tp","sigma_per","class","producer","data_arc","first_obs","last_obs","n_obs_used","n_del_obs_used","n_dop_obs_used","condition_code","rms","two_body","A1","A2","A3","DT","id.y","nametype","recclass","mass..g.","fall","year","reclat","reclong","GeoLocation"
"125","Milton","a0004332",2004332,"  4332 Milton (1983 RC)","4332","","N","N",12.8,NA,NA,NA,NA,NA,NA,"11.54","",0.2306,3.2978,NA,NA,NA,NA,"Xe","",NA,0.6,"JPL 17",2457400.5,57400,20160113,"J2000",0.315090038966955,2.58465836077319,1.7702582571609,19.1691257505122,166.00170243924,198.448077289786,278.111522638109,3.39905846438548,0.237191627152364,2457745.74185506,20161223.2418551,1517.76015166315,4.15540082590868,0.772529,300.64511093,2.06423,3.277,5.8461e-08,1.4098e-08,1.5443e-07,6.9034e-06,1.3099e-05,1.4601e-05,6.9734e-06,1.854e-08,1.9406e-09,3.0971e-05,1.2418e-05,"MBA","Otto Matic",29831,"1933-09-16","2015-05-20",1190,NA,NA,"0",0.50214,NA,NA,NA,NA,NA,16691,"Valid","Pallasite, ungrouped","2040","Found",2000,40.2875,-95.37667,"(40.287500, -95.376670)"
"126","Minas Gerais","a0010769",2010769," 10769 Minas Gerais (1990 UJ5)","10769","","N","N",12.7,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 15",2457400.5,57400,20160113,"J2000",0.0899255846527965,3.07288258300623,2.79655182016,9.49923066757539,174.674816673965,159.447624354413,298.838550580417,3.34921334585246,0.182972206383998,2457734.7663382,20161212.2663382,1967.51193590834,5.38675410241846,1.78748,695.6335916,2.05136,3.203,5.1839e-08,2.66e-08,1.6803e-07,5.9117e-06,2.877e-05,4.1541e-05,3.1429e-05,2.8992e-08,2.3758e-09,0.00017324,2.5548e-05,"MBA","Otto Matic",9036,"1990-10-16","2015-07-13",1247,NA,NA,"0",0.53402,NA,NA,NA,NA,NA,16693,"Valid","L6","1224","Found",1888,-18.5,-44,"(-18.500000, -44.000000)"
"127","Molina","a0009680",2009680,"  9680 Molina (3557 P-L)","9680","","N","N",14.6,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 13",2457400.5,57400,20160113,"J2000",0.108353019066556,2.2708741326823,2.02481806448603,4.6568354213981,312.491177614566,150.290131750197,337.086253952529,2.51693020087857,0.288014583677562,2457480.0575896,20160401.5575896,1249.93670599343,3.42214019436941,1.04293,405.8770681,2.59653,3.6,4.8173e-08,1.0427e-08,1.112e-07,5.2945e-06,6.0239e-05,7.2415e-05,3.4367e-05,1.1557e-08,1.9836e-09,0.00011917,8.6087e-06,"MBA","Otto Matic",22814,"1953-10-01","2016-03-18",1141,NA,NA,"0",0.54376,NA,NA,NA,NA,NA,16715,"Valid","H5","144000","Fell",1858,38.11667,-1.16667,"(38.116670, -1.166670)"
"128","Monroe","a0003768",2003768,"  3768 Monroe (1937 RB)","3768","","N","N",11.6,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 19",2457400.5,57400,20160113,"J2000",0.211204110498495,3.10241437871766,2.44717170946286,14.0005308953951,147.918489327416,222.39002958941,132.47693490177,3.75765704797246,0.180365872533107,2456666.00997125,20140108.5099713,1995.94299600065,5.46459410267118,1.46284,569.2934428,1.76124,3.142,6.2271e-08,2.0575e-08,1.9025e-07,7.5426e-06,2.114e-05,2.4864e-05,1.3485e-05,2.4921e-08,1.7943e-09,7.3891e-05,1.9856e-05,"MBA","Otto Matic",28682,"1937-09-07","2016-03-18",1310,NA,NA,"0",0.49098,NA,NA,NA,NA,NA,16720,"Valid","H4","8600","Fell",1849,35.25,-80.5,"(35.250000, -80.500000)"
"129","Morden","a0014502",2014502," 14502 Morden (1995 WB22)","14502","","N","N",15.8,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 11",2457400.5,57400,20160113,"J2000",0.0901942536017104,2.23227409940117,2.03093580317125,5.14836801587842,95.3907114783624,39.9119832199517,306.621191212375,2.43361239563109,0.295517220613513,2457581.12842049,20160711.6284205,1218.20311944129,3.33525836944911,1.04831,407.9708027,2.59227,3.63,5.5827e-08,1.2082e-08,1.2858e-07,6.0844e-06,6.0453e-05,7.919e-05,4.6752e-05,1.3171e-08,2.3991e-09,0.00015813,9.8899e-06,"MBA","Otto Matic",7428,"1995-11-17","2016-03-19",638,NA,NA,"0",0.56188,NA,NA,NA,NA,NA,16743,"Valid","Iron, IAB?","2426","Found",1922,-30.5,142.33333,"(-30.500000, 142.333330)"
"130","Moriarty","a0005048",2005048,"  5048 Moriarty (1981 GC)","5048","","N","N",13.2,NA,NA,NA,NA,NA,NA,"","",NA,232.8914,NA,NA,NA,NA,"","",NA,NA,"JPL 17",2457400.5,57400,20160113,"J2000",0.171694222167321,2.62752679295578,2.17639562401544,1.3921698708697,301.672002272303,272.59101266,45.2845186680234,3.07865796189611,0.231410650977031,2457204.81100091,20150701.3110009,1555.6760178499,4.25920880999287,1.17001,455.3327917,1.89548,3.38,5.7702e-08,1.2916e-08,1.5099e-07,4.9712e-06,0.00022927,0.00022976,1.5087e-05,1.5134e-08,1.7063e-09,6.4991e-05,1.1471e-05,"MBA","Otto Matic",23486,"1951-03-10","2015-06-28",1455,NA,NA,"0",0.55388,NA,NA,NA,NA,NA,16744,"Valid","L","330","Found",1975,34.98333,-106.05,"(34.983330, -106.050000)"
"131","Morton","a0020106",2020106," 20106 Morton (1995 QG)","20106","","N","N",14.9,NA,NA,NA,NA,NA,NA,"","",NA,18.0434,NA,NA,NA,NA,"","",NA,NA,"JPL 12",2457400.5,57400,20160113,"J2000",0.161099506953697,2.64451054602536,2.21848120092682,13.3499779375628,323.136098737685,104.031842698021,222.437459321116,3.0705398911239,0.229184962546924,2458000.72498488,20170904.2249849,1570.78368493,4.30057134819985,1.27578,496.4953026,2.28995,3.337,6.5082e-08,2.1401e-08,1.7023e-07,1.1077e-05,3.535e-05,5.4134e-05,4.0637e-05,2.4849e-08,2.782e-09,0.00018051,1.9068e-05,"MBA","Otto Matic",8098,"1993-04-20","2015-06-22",431,NA,NA,"0",0.59894,NA,NA,NA,NA,NA,16753,"Valid","H6","6400","Found",1980,33.71667,-102.76667,"(33.716670, -102.766670)"
"132","Murray","a0000941",2000941,"   941 Murray (1920 HV)","941","","N","N",11.55,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,0.703,0.31,NA,"X","CX",NA,NA,"JPL 22",2457400.5,57400,20160113,"J2000",0.195569908435851,2.78387964897375,2.23943656092753,6.62467345929906,52.3240170386885,335.14877460795,179.597651844282,3.32832273701998,0.212191698730334,2456554.10660705,20130918.606607,1696.57909406489,4.64498040811741,1.24498,484.5088666,2.11929,3.294,5.3272e-08,1.1029e-08,1.4643e-07,5.6912e-06,4.4855e-05,4.661e-05,1.1932e-05,1.3186e-08,1.261e-09,5.5313e-05,1.0082e-05,"MBA","Otto Matic",34858,"1920-10-11","2016-03-19",1572,NA,NA,"0",0.4749,NA,NA,NA,NA,NA,16882,"Valid","CM2","12600","Fell",1950,36.6,-88.1,"(36.600000, -88.100000)"
"133","Nagai","a0033553",2033553," 33553 Nagai (1999 JQ17)","33553","","N","N",14.4,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 14",2457400.5,57400,20160113,"J2000",0.079294888288787,2.56363783100513,2.36035445558267,6.84332989236214,125.796265169431,122.078472753998,16.248277635875,2.76692120642759,0.240114875587221,2457332.83123272,20151106.3312327,1499.28237107172,4.10481141977199,1.35339,526.6987863,2.26716,3.419,7.4123e-08,1.8451e-08,1.9638e-07,6.0988e-06,7.0561e-05,9.0395e-05,5.7106e-05,1.9914e-08,2.5922e-09,0.00023767,1.6186e-05,"MBA","Otto Matic",6371,"1998-01-08","2015-06-19",815,NA,NA,"0",0.54412,NA,NA,NA,NA,NA,16890,"Valid","L6","1810","Fell",1922,38.12167,140.06167,"(38.121670, 140.061670)"
"134","Nantong","a0003051",2003051,"  3051 Nantong (1974 YP)","3051","","N","N",12.4,NA,NA,NA,NA,NA,NA,"13.4","",0.0752,3.69,NA,NA,NA,NA,"","",NA,NA,"JPL 14",2457400.5,57400,20160113,"J2000",0.258006126349786,2.59324946336309,1.92417521466212,13.3569345351488,280.181615651701,93.4217600909094,359.388934946138,3.26232371206406,0.236013925773856,2457403.08910593,20160115.5891059,1525.333722659,4.17613613322108,0.977967,380.59541739,2.44252,3.334,8.0773e-08,2.0226e-08,2.1932e-07,7.5477e-06,3.0293e-05,3.4412e-05,1.4274e-05,2.5444e-08,2.7611e-09,6.0489e-05,1.7845e-05,"MBA","Otto Matic",22685,"1953-12-07","2016-01-16",921,NA,NA,"0",0.46108,NA,NA,NA,NA,NA,16907,"Valid","H6","529","Fell",1984,32.11667,121.8,"(32.116670, 121.800000)"
"135","Navajo","a0003688",2003688,"  3688 Navajo (1981 FD)","3688","","N","N",15.1,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 13",2457400.5,57400,20160113,"J2000",0.478870941617023,3.22167129100858,1.67890652630277,2.55948680777323,19.9689338580345,137.896587768113,12.4856032512855,4.76443605571439,0.170444202367799,2457327.24668262,20151031.7466826,2112.12816275887,5.78269175293325,0.689436,268.30780812,0.240019,2.995,4.7769e-08,1.7335e-08,1.486e-07,5.8637e-06,0.00010478,0.00010542,8.4021e-06,2.5636e-08,1.3757e-09,4.8781e-05,1.7047e-05,"OMB","Otto Matic",12821,"1981-02-09","2016-03-18",839,NA,NA,"0",0.60148,NA,NA,NA,NA,NA,16926,"Valid","Iron, IIAB","2184000","Found",1921,35.33333,-109.5,"(35.333330, -109.500000)"
"136","Neagari","a0005356",2005356,"  5356 Neagari (1991 FF1)","5356","","N","N",12.4,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 18",2457400.5,57400,20160113,"J2000",0.155831577528316,2.60907192636111,2.20249613219141,14.3108101871429,172.891214473133,267.10352559734,57.2104756410434,3.0156477205308,0.233870258770906,2457155.87515569,20150513.3751557,1539.31501120306,4.21441481506655,1.27114,494.6895538,2.3545,3.35,4.269e-08,1.5517e-08,1.1102e-07,6.4694e-06,1.886e-05,2.8302e-05,2.0285e-05,1.7935e-08,2.0864e-09,8.6522e-05,1.3732e-05,"MBA","Otto Matic",14418,"1976-09-25","2016-03-17",1301,NA,NA,"0",0.48992,NA,NA,NA,NA,NA,16934,"Valid","L6","420","Fell",1995,36.44917,136.46528,"(36.449170, 136.465280)"
"137","Ningbo","a0003543",2003543,"  3543 Ningbo (1964 VA3)","3543","","N","N",12,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 21",2457400.5,57400,20160113,"J2000",0.170922836238512,3.17842594864838,2.63516037073132,1.04628931276506,162.803401520437,109.97151165503,133.241837423452,3.72169152656545,0.173934577837694,2456634.45428856,20131207.9542886,2069.74371902021,5.66664947028121,1.61762,629.5291754,1.38628,3.177,3.6625e-08,2.2459e-08,1.1356e-07,4.8162e-06,0.00022812,0.00022878,1.5929e-05,2.6298e-08,1.8435e-09,9.005e-05,2.1937e-05,"MBA","Otto Matic",23132,"1952-11-16","2016-03-17",1944,NA,NA,"0",0.4974,NA,NA,NA,NA,NA,16980,"Valid","Iron, IVA","14250","Fell",1975,29.86667,121.48333,"(29.866670, 121.483330)"
"138","Novosibirsk","a0004271",2004271,"  4271 Novosibirsk (1976 GQ6)","4271","","N","N",11.7,NA,NA,NA,NA,NA,NA,"","",NA,8.85,NA,NA,NA,NA,"","",NA,NA,"JPL 21",2457400.5,57400,20160113,"J2000",0.0942439288812664,3.01211282463641,2.72823947780903,10.9228318411687,160.063065017648,130.057392993773,147.327702164681,3.2959861714638,0.188537272977459,2456619.07519292,20131122.5751929,1909.43676183881,5.22775294137937,1.72586,671.6529362,1.96854,3.215,4.3823e-08,2.4047e-08,1.2863e-07,5.9161e-06,2.5681e-05,4.2624e-05,3.3669e-05,2.6313e-08,2.2578e-09,0.00017843,2.2866e-05,"MBA","Otto Matic",14595,"1976-04-03","2016-03-19",1358,NA,NA,"0",0.49908,NA,NA,NA,NA,NA,17932,"Valid","H5/6","11410","Found",1978,55,82.9,"(55.000000, 82.900000)"
"139","Oliver","a0002177",2002177,"  2177 Oliver (6551 P-L)","2177","","N","N",11.9,NA,NA,NA,NA,NA,NA,"20.42","",0.1279,6.1065,NA,NA,NA,NA,"","",NA,2.2,"JPL 20",2457400.5,57400,20160113,"J2000",0.102893009113303,3.19038953560389,2.86212075604201,1.52498361348602,51.4783586010237,274.638990552871,272.591715504889,3.51865831516577,0.172957144155842,2457905.87539182,20170601.3753918,2081.44047334422,5.69867343831407,1.84886,719.5208462,1.77231,3.188,4.469e-08,2.3371e-08,1.4864e-07,5.3491e-06,0.00017091,0.00017298,2.8281e-05,2.5775e-08,1.9005e-09,0.00016518,2.2871e-05,"MBA","Otto Matic",22950,"1953-05-18","2016-03-18",1722,NA,NA,"0",0.50584,NA,NA,NA,NA,NA,18014,"Valid","L6","6690","Found",1984,41.2,-103.68333,"(41.200000, -103.683330)"
"140","Otto","a0002962",2002962,"  2962 Otto (1940 YF)","2962","","N","N",11.1,NA,NA,NA,NA,NA,NA,"","",NA,2.678,NA,NA,NA,NA,"","",NA,NA,"JPL 15",2457400.5,57400,20160113,"J2000",0.0398077258831872,2.56837435956535,2.46613321709437,15.6412974832308,54.2223736693629,117.310756828872,21.1619349213814,2.67061550203633,0.239450961591962,2457312.12309485,20151016.6230948,1503.43935813237,4.1161926300681,1.49157,580.4742969,2.3404,3.378,5.0725e-08,1.4363e-08,1.3044e-07,6.0059e-06,1.9441e-05,7.3912e-05,6.9925e-05,1.4934e-08,2.0085e-09,0.00029214,1.2611e-05,"MBA","Otto Matic",30837,"1931-10-07","2016-03-11",958,NA,NA,"0",0.5449,NA,NA,NA,NA,NA,18047,"Valid","H5","28","Found",1970,35.16667,-105.98333,"(35.166670, -105.983330)"
"141","Palermo","a0010001",2010001," 10001 Palermo (1969 TM1)","10001","","N","N",13.9,NA,NA,NA,NA,NA,NA,"","",NA,213.3679,NA,NA,NA,NA,"","",NA,NA,"JPL 19",2457400.5,57400,20160113,"J2000",0.134232149957677,2.37648490666869,2.05748422830458,7.42488044110052,40.1650426962831,357.985648364752,211.555081198936,2.69548558503279,0.269030478034578,2457952.27732979,20170717.7773298,1338.13835008586,3.66362313507421,1.06363,413.9328871,2.71712,3.518,7.828e-08,1.3561e-08,1.8486e-07,7.7811e-06,4.1824e-05,4.663e-05,2.0873e-05,1.5381e-08,2.3027e-09,7.9074e-05,1.1454e-05,"MBA","Otto Matic",22264,"1954-07-29","2015-07-13",1099,NA,NA,"0",0.47005,NA,NA,NA,NA,NA,18076,"Valid","Unknown","","Found",1966,-34.55,-58.43333,"(-34.550000, -58.433330)"
"142","Palmyra","a0013131",2013131," 13131 Palmyra (1994 PL32)","13131","","N","N",15,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 13",2457400.5,57400,20160113,"J2000",0.191200468416298,2.57259590994684,2.08071436691915,3.4469529627434,218.304313008597,208.038153686779,359.679240435522,3.06447745297452,0.238861806012361,2457401.8428667,20160114.3428667,1507.14760978308,4.12634526976887,1.09426,425.8531642,2.25555,3.4,8.0325e-08,1.7288e-08,2.089e-07,8.976e-06,8.1411e-05,8.3809e-05,1.5124e-05,2.0594e-08,2.4078e-09,6.3314e-05,1.5193e-05,"MBA","Otto Matic",13623,"1978-11-29","2016-03-17",755,NA,NA,"0",0.58391,NA,NA,NA,NA,NA,18079,"Valid","L3","135","Fell",1926,39.8,-91.5,"(39.800000, -91.500000)"
"143","Paris","a0003317",2003317,"  3317 Paris (1984 KF)","3317","","N","N",8.4,NA,NA,NA,NA,NA,NA,"116.26","",0.0626,7.082,NA,NA,NA,NA,"T","",NA,5.2,"JPL 26",2457400.5,57400,20160113,"J2000",0.126145534794535,5.22347270552483,4.56455494760174,27.8605441399808,135.896621162033,150.202052207711,179.134993911474,5.88239046344792,0.0825591245978766,2455230.72173765,20100203.2217376,4360.51135175505,11.938429436701,3.57121,1389.8077957,0.413347,2.754,6.3179e-08,1.2922e-07,2.9953e-07,6.5474e-06,1.2437e-05,2.4505e-05,2.2111e-05,1.4553e-07,3.0637e-09,0.00026667,0.00016181,"TJN","Otto Matic",19190,"1963-08-21","2016-03-05",1024,NA,NA,"0",0.50091,NA,NA,NA,NA,NA,50907,"Valid","CM","1370","Found",2001,NA,NA,""
"144","Parsa","a0014277",2014277," 14277 Parsa (2000 CS13)","14277","","N","N",14.7,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 13",2457400.5,57400,20160113,"J2000",0.0507780277732389,2.80132077512458,2.65907523100356,3.8859090702014,187.704764388812,300.374508818062,145.401277645075,2.94356631924561,0.210213116448142,2456708.81491345,20140220.3149134,1712.54775193254,4.68870021062982,1.67646,652.4279382,2.079,3.32,5.6064e-08,2.5572e-08,1.5229e-07,7.2381e-06,8.5355e-05,0.00011237,7.2837e-05,2.6871e-08,2.8784e-09,0.00034517,2.345e-05,"MBA","Otto Matic",7922,"1993-09-14","2015-05-24",746,NA,NA,"0",0.54965,NA,NA,NA,NA,NA,18109,"Valid","EH3","800","Fell",1942,26.2,85.4,"(26.200000, 85.400000)"
"145","Patricia","a0000436",2000436,"   436 Patricia (1898 DT)","436","","N","N",10,NA,NA,NA,NA,NA,NA,"59.53","",0.0599,16.133,NA,NA,NA,NA,"","",NA,4.2,"JPL 60",2457400.5,57400,20160113,"J2000",0.0664076201614106,3.20466738354639,2.99185304919618,18.5104666011201,351.345029720773,41.2910564529222,147.529629551461,3.4174817178966,0.171802561056812,2456541.78387468,20130906.2838747,2095.42860004836,5.73697084202153,2.0118,782.932206,1.93218,3.109,4.3293e-08,1.892e-08,1.4111e-07,4.5e-06,1.4637e-05,4.1553e-05,3.7634e-05,2.0177e-08,1.5215e-09,0.00021787,1.8557e-05,"OMB","Otto Matic",42919,"1898-09-14","2016-03-18",1466,NA,NA,"0",0.5554,NA,NA,NA,NA,NA,18115,"Valid","H5","14900","Found",1983,32.5,-102.03333,"(32.500000, -102.033330)"
"146","Perth","a0003953",2003953,"  3953 Perth (1986 VB6)","3953","","N","N",13.5,NA,NA,NA,NA,NA,NA,"","",NA,5.083,NA,NA,NA,NA,"","",NA,NA,"JPL 18",2457400.5,57400,20160113,"J2000",0.188584777668295,2.26060746521142,1.83429130898923,4.95087635532759,129.085167775867,238.035451446433,232.303225392363,2.6869236214336,0.28997885970861,2457840.86580713,20170328.3658071,1241.4698104605,3.39895909777002,0.836487,325.53564579,2.77051,3.592,5.6616e-08,1.0767e-08,1.2868e-07,5.7031e-06,5.6629e-05,5.801e-05,1.3343e-05,1.2798e-08,2.0718e-09,4.7116e-05,8.8698e-06,"MBA","Otto Matic",13080,"1979-08-26","2015-06-18",1294,NA,NA,"0",0.5034,NA,NA,NA,NA,NA,18797,"Valid","LL5","2","Fell",1830,56.4,-3.43333,"(56.400000, -3.433330)"
"147","Portugal","a0003933",2003933,"  3933 Portugal (1986 EN4)","3933","","N","N",12.4,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 15",2457400.5,57400,20160113,"J2000",0.0954493113034256,3.24931902447108,2.9391737613802,1.69224955037369,42.7230620698744,249.992693419531,288.733203024264,3.55946428756196,0.168273428707954,2457824.01782764,20170311.5178276,2139.37519883069,5.85729007208949,1.92184,747.9224728,1.59201,3.174,4.3287e-08,2.8735e-08,1.4684e-07,5.8246e-06,0.00017533,0.00017846,3.6545e-05,3.1477e-08,2.2321e-09,0.00021801,2.8379e-05,"OMB","Otto Matic",22834,"1953-09-06","2016-03-13",1595,NA,NA,"0",0.50849,NA,NA,NA,NA,NA,18876,"Valid","Stone-uncl","4500","Fell",1796,38.5,-8,"(38.500000, -8.000000)"
"148","Post","a0089903",2089903," 89903 Post (2002 DL3)","89903","","N","N",14.2,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 39",2457400.5,57400,20160113,"J2000",0.129018678004294,3.96874024466154,3.45669862495287,5.6254195642605,56.3631566732974,345.497733035801,5.02144847211961,4.48078186437021,0.124659408313217,2457360.2186563,20151203.7186563,2887.86867249899,7.9065535181355,2.46445,959.0900065,0.931585,3.035,8.7113e-08,8.7086e-08,3.8531e-07,8.5203e-06,7.5175e-05,8.1299e-05,2.7579e-05,9.8322e-08,4.1031e-09,0.00022124,9.5052e-05,"OMB","Otto Matic",8912,"1991-10-04","2016-02-27",396,NA,NA,"0",0.70505,NA,NA,NA,NA,NA,18877,"Valid","L","2000","Found",1965,33.11667,-101.38333,"(33.116670, -101.383330)"
"149","Potter","a0007320",2007320,"  7320 Potter (1978 TP6)","7320","","N","N",13.2,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"JPL 11",2457400.5,57400,20160113,"J2000",0.193052994289572,3.12691786018819,2.52325700438132,4.48732713175254,332.88247996784,122.896959226965,215.63775493711,3.73057871599507,0.178249928484986,2458210.38669275,20180401.8866927,2019.63615390916,5.52946243370063,1.54319,600.5632523,1.47839,3.181,4.9247e-08,2.6318e-08,1.5019e-07,6.0838e-06,7.1652e-05,7.3942e-05,1.8591e-05,3.1399e-08,2.2504e-09,0.00011002,2.5498e-05,"MBA","Otto Matic",13403,"1978-10-02","2015-06-13",1034,NA,NA,"0",0.512,NA,NA,NA,NA,NA,18878,"Valid","L6","261000","Found",1941,41.23333,-103.3,"(41.233330, -103.300000)"
"150","Pribram","a0009884",2009884,"  9884 Pribram (1994 TN3)","9884","","N","N",15.3,NA,NA,NA,NA,NA,NA,"","",NA,13.9159,NA,NA,NA,NA,"","",NA,NA,"JPL 14",2457400.5,57400,20160113,"J2000",0.139395800338275,2.37734025936977,2.04594901123852,1.86319486360633,25.5331588566094,74.5503116648199,227.879617502178,2.70873150750102,0.268885297777779,2457891.86335675,20170518.3633568,1338.86085619126,3.66560124898361,1.06347,413.8706199,2.43605,3.527,4.745e-08,1.4877e-08,1.0999e-07,6.8769e-06,0.00016669,0.00016884,2.6212e-05,1.695e-08,2.5239e-09,9.8693e-05,1.2567e-05,"MBA","Otto Matic",15024,"1974-04-25","2015-06-13",754,NA,NA,"0",0.55923,NA,NA,NA,NA,NA,18887,"Valid","H5","5555","Fell",1959,49.66667,14.03333,"(49.666670, 14.033330)"
"151","Reid","dJ24F010",1000997,"     C/1924 F1 (Reid)","1924 F1","C","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"SAO_2008",2423840.5,23840,19240225,"J2000",0.998598,1252.2788873,1.755695,72.3273,115.0738,271.4401,-0.0003992,2502.8020796,2.22e-05,2423858.4493,19240313.9493,NA,NA,NA,NA,NA,0.503,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COM","Marsden",191,"1924-03-30","1924-10-07",63,NA,NA,"",NA,FALSE,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
"152","Reid","dJ22B010",1000993,"     C/1922 B1 (Reid)","1922 B1","C","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"SAO_2008",2422991.2661,22990,19211028.7661,"J2000",0.986968,125.0063689,1.629083,32.4456,275.5991,183.6812,0,248.3836549,0.0007052,2422991.2661,19211028.7661,NA,NA,NA,NA,NA,1.373,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"COM","Wood",67,"1922-01-23","1922-03-31",70,NA,NA,"",NA,TRUE,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
"153","Reid","dJ18L010",1000987,"     C/1918 L1 (Reid)","1918 L1","C","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"SAO_2008",2421750.8794,21750,19180606.3794,"J2000",1,NA,1.101641,69.7093,18.8382,194.9062,NA,NA,NA,2421750.8794,19180606.3794,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAR","Wood",34,"1918-06-13","1918-07-17",3,NA,NA,"",NA,TRUE,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
"154","Reid","dJ27B010",1001007,"     C/1927 B1 (Reid)","1927 B1","C","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"SAO_2008",2424879.912,24879,19261230.412,"J2000",1,NA,0.75164,83.6631,109.6946,224.4377,NA,NA,NA,2424879.912,19261230.412,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"PAR","Marsden",18,"1927-01-26","1927-02-13",13,NA,NA,"",NA,TRUE,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
"155","Reid","a0003422",2003422,"  3422 Reid (1978 OJ)","3422","","N","N",12.1,NA,NA,NA,NA,NA,NA,"","",NA,2.91,NA,NA,NA,NA,"","",NA,NA,"JPL 15",2457400.5,57400,20160113,"J2000",0.150463444470613,2.69157392978453,2.28659044526184,13.9318646254627,111.937282466429,199.331809063159,169.682235938601,3.09655741430721,0.223200212734282,2456640.27565317,20131213.7756532,1612.90168853278,4.41588415751618,1.27409,495.8376053,2.15337,3.313,4.9221e-08,1.787e-08,1.3048e-07,5.7404e-06,1.8823e-05,2.6305e-05,2.0712e-05,2.0559e-08,2.2229e-09,9.1325e-05,1.6063e-05,"MBA","Otto Matic",13740,"1978-07-28","2016-03-10",1436,NA,NA,"0",0.46164,NA,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
"156","Reid","dJ21E010",1000992,"     C/1921 E1 (Reid)","1921 E1","C","","",NA,NA,NA,NA,NA,NA,NA,"","",NA,NA,NA,NA,NA,NA,"","",NA,NA,"SAO_2008",2422800.5,22800,19210421,"J2000",1.000357,-2824.8095238,1.008457,132.1876,269.4395,64.4901,-0.0001277,NA,6.6e-06,2422819.9496,19210510.4496,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"HYP","Marsden",256,"1921-03-15","1921-11-26",146,NA,NA,"",NA,FALSE,NA,NA,NA,NA,22556,"Valid","H5","144.1","Found",1969,-30.06667,128.98333,"(-30.066670, 128.983330)"
